customer_id,store_name,transaction_date,aisle,product_name,quantity,unit_price,total_amount,discount_amount,final_amount,loyalty_points,month,year,DayOfWeek,profit
4456,MegaMart Westside,2025-07-16,Snacks & Candy,Carrots,1.0,12.16,12.16,1.82,10.34,295,7,2025,Wednesday,8.52
6155,FreshMart Downtown,2024-01-19,Snacks & Candy,Bananas,5.0,27.83,139.15,20.87,118.28,275,1,2024,Friday,97.41
9179,Corner Grocery,2024-06-09,Dairy,Cereal,5.0,10.09,50.45,0.0,50.45,434,6,2024,Sunday,50.45
8517,QuickStop Market,2023-11-25,Personal Care,Rice,4.0,10.45,41.8,1.51,40.29,356,11,2023,Saturday,38.78
5339,Corner Grocery,2023-11-23,Health & Wellness,Tomatoes,2.0,18.84,37.68,4.33,33.35,154,11,2023,Thursday,29.020000000000003
5040,QuickStop Market,2025-03-07,Frozen Foods,Yogurt,4.0,23.78,95.12,9.51,85.61,310,3,2025,Friday,76.1
9830,City Fresh Store,2024-02-27,Beverages,Yogurt,5.0,14.71,73.55,0.0,73.55,461,2,2024,Tuesday,73.55
8019,GreenGrocer Plaza,2025-07-04,Frozen Foods,Carrots,5.0,10.71,53.55,0.0,53.55,419,7,2025,Friday,53.55
4593,GreenGrocer Plaza,2023-11-22,Beverages,Cheese,5.0,6.63,33.15,3.31,29.84,356,11,2023,Wednesday,26.53
9348,Corner Grocery,2024-08-24,Bakery,Eggs,1.0,26.88,26.88,2.69,24.19,440,8,2024,Saturday,21.5
2489,FamilyFood Express,2025-03-16,Meat & Seafood,Carrots,4.0,2.45,9.8,0.98,8.82,127,3,2025,Sunday,7.84
1771,SuperSave Central,2025-06-05,Beverages,Carrots,5.0,18.26,91.3,4.26,87.04,486,6,2025,Thursday,82.78
2796,ValuePlus Market,2023-12-03,Snacks & Candy,Onions,4.0,27.01,108.04,10.8,97.24,380,12,2023,Sunday,86.44
3621,QuickStop Market,2025-04-13,Bakery,Pasta,5.0,15.04,75.2,7.52,67.68,122,4,2025,Sunday,60.16000000000001
7916,GreenGrocer Plaza,2024-11-12,Frozen Foods,Ground Beef,3.0,10.73,32.19,6.44,25.75,457,11,2024,Tuesday,19.31
2040,SuperSave Central,2024-05-31,Bakery,Tomatoes,2.0,21.48,42.96,4.3,38.66,32,5,2024,Friday,34.36
7252,MegaMart Westside,2024-11-11,Personal Care,Salmon,4.0,2.8,11.2,1.12,10.08,426,11,2024,Monday,8.96
8668,FreshMart Downtown,2024-09-20,Household Items,Tomatoes,4.0,1.16,4.64,0.46,4.18,180,9,2024,Friday,3.7199999999999998
5119,Corner Grocery,2024-10-09,Personal Care,Onions,5.0,27.03,135.15,20.27,114.88,249,10,2024,Wednesday,94.61
1188,Corner Grocery,2025-01-16,Beverages,Bananas,4.0,10.74,42.96,0.0,42.96,347,1,2025,Thursday,42.96
2876,SuperSave Central,2025-01-17,Beverages,Eggs,5.0,16.48,82.4,3.26,79.14,464,1,2025,Friday,75.88
9797,FreshMart Downtown,2025-03-12,Dairy,Cheese,2.0,26.13,52.26,7.84,44.42,93,3,2025,Wednesday,36.58
5371,Corner Grocery,2025-03-25,Canned Goods,Yogurt,4.0,10.47,41.88,6.28,35.6,389,3,2025,Tuesday,29.32
6573,Corner Grocery,2023-11-01,Frozen Foods,Bread,4.0,1.55,6.2,0.93,5.27,276,11,2023,Wednesday,4.34
5808,FamilyFood Express,2024-07-09,Health & Wellness,Bread,1.0,22.86,22.86,4.57,18.29,486,7,2024,Tuesday,13.719999999999999
3591,FreshMart Downtown,2024-07-24,Household Items,Eggs,2.0,4.65,9.3,4.79,4.51,342,7,2024,Wednesday,-0.28000000000000025
1053,City Fresh Store,2025-02-17,Frozen Foods,Orange Juice,2.0,18.56,37.12,7.42,29.7,493,2,2025,Monday,22.28
5315,QuickStop Market,2024-08-29,Dairy,Bananas,3.0,17.69,53.07,5.31,47.76,464,8,2024,Thursday,42.449999999999996
3927,FamilyFood Express,2024-09-04,Dairy,Ground Beef,1.0,21.21,21.21,4.13,17.08,154,9,2024,Wednesday,12.95
2743,MegaMart Westside,2025-06-13,Personal Care,Cheese,3.0,2.99,8.97,4.4,4.57,331,6,2025,Friday,0.16999999999999993
5889,City Fresh Store,2025-05-21,Dairy,Cheese,3.0,19.42,58.26,0.0,58.26,424,5,2025,Wednesday,58.26
9317,SuperSave Central,2024-11-22,Snacks & Candy,Apples,5.0,28.99,144.95,14.49,130.46,138,11,2024,Friday,115.97000000000001
4258,Corner Grocery,2023-12-03,Household Items,Pasta,3.0,25.69,77.07,11.56,65.51,425,12,2023,Sunday,53.95
7126,City Fresh Store,2025-03-21,Bakery,Salmon,5.0,18.69,93.45,2.98,90.47,194,3,2025,Friday,87.49
3646,MegaMart Westside,2024-09-28,Meat & Seafood,Potatoes,2.0,11.28,22.56,3.38,19.18,132,9,2024,Saturday,15.8
9689,QuickStop Market,2025-07-20,Personal Care,Bananas,5.0,28.48,142.4,0.0,142.4,43,7,2025,Sunday,142.4
1009,Corner Grocery,2024-11-14,Beverages,Onions,2.0,21.02,42.04,4.2,37.84,330,11,2024,Thursday,33.64
6310,FreshMart Downtown,2024-08-20,Dairy,Rice,2.0,12.72,25.44,0.0,25.44,124,8,2024,Tuesday,25.44
1319,MegaMart Westside,2023-11-01,Beverages,Onions,5.0,10.96,54.8,8.22,46.58,381,11,2023,Wednesday,38.36
6947,City Fresh Store,2025-06-19,Frozen Foods,Rice,3.0,7.68,23.04,3.46,19.58,369,6,2025,Thursday,16.119999999999997
6038,GreenGrocer Plaza,2024-02-08,Personal Care,Apples,2.0,7.27,14.54,0.0,14.54,247,2,2024,Thursday,14.54
1949,ValuePlus Market,2024-02-10,Household Items,Rice,1.0,25.14,25.14,3.77,21.37,151,2,2024,Saturday,17.6
2290,SuperSave Central,2023-10-12,Frozen Foods,Bananas,5.0,4.66,23.3,2.17,21.13,23,10,2023,Thursday,18.96
8962,SuperSave Central,2025-05-01,Health & Wellness,Potatoes,1.0,26.3,26.3,2.63,23.67,293,5,2025,Thursday,21.040000000000003
2133,City Fresh Store,2025-03-19,Beverages,Cereal,2.0,28.99,57.98,4.29,53.69,129,3,2025,Wednesday,49.4
9727,Corner Grocery,2025-03-23,Beverages,Bread,5.0,19.24,96.2,19.24,76.96,27,3,2025,Sunday,57.72
3060,QuickStop Market,2023-11-14,Dairy,Ground Beef,1.0,17.17,17.17,2.52,14.65,213,11,2023,Tuesday,12.13
8787,City Fresh Store,2024-10-07,Frozen Foods,Cheese,3.0,17.48,52.44,10.49,41.95,30,10,2024,Monday,31.46
3705,FamilyFood Express,2024-02-28,Frozen Foods,Bread,2.0,7.95,15.9,3.18,12.72,282,2,2024,Wednesday,9.540000000000001
9645,FreshMart Downtown,2025-06-14,Snacks & Candy,Salmon,5.0,14.62,73.1,10.96,62.14,16,6,2025,Saturday,51.18
7932,QuickStop Market,2024-01-18,Beverages,Bread,2.0,27.78,55.56,5.56,50.0,403,1,2024,Thursday,44.44
9835,GreenGrocer Plaza,2025-03-15,Personal Care,Ground Beef,2.0,27.33,54.66,1.24,53.42,423,3,2025,Saturday,52.18
4295,QuickStop Market,2025-02-10,Household Items,Rice,4.0,4.6,18.4,0.0,18.4,352,2,2025,Monday,18.4
6107,Corner Grocery,2024-06-11,Frozen Foods,Carrots,5.0,15.31,76.55,7.66,68.89,41,6,2024,Tuesday,61.230000000000004
7118,MegaMart Westside,2024-07-12,Household Items,Pasta,1.0,3.64,3.64,0.0,3.64,492,7,2024,Friday,3.64
9479,QuickStop Market,2024-07-22,Household Items,Milk,2.0,14.63,29.26,4.39,24.87,333,7,2024,Monday,20.48
2982,SuperSave Central,2024-02-15,Household Items,Cheese,4.0,29.09,116.36,11.64,104.72,240,2,2024,Thursday,93.08
4681,MegaMart Westside,2023-09-25,Canned Goods,Chicken Breast,2.0,10.55,21.1,3.17,17.93,355,9,2023,Monday,14.76
6539,Corner Grocery,2023-08-23,Personal Care,Milk,4.0,3.54,14.16,4.88,9.28,129,8,2023,Wednesday,4.3999999999999995
4770,Corner Grocery,2024-11-06,Personal Care,Bananas,5.0,14.39,71.95,2.45,69.5,27,11,2024,Wednesday,67.05
4608,City Fresh Store,2023-08-12,Health & Wellness,Salmon,1.0,6.89,6.89,1.03,5.86,281,8,2023,Saturday,4.83
2163,City Fresh Store,2025-02-06,Beverages,Chicken Breast,1.0,29.21,29.21,0.0,29.21,311,2,2025,Thursday,29.21
1964,SuperSave Central,2024-01-31,Frozen Foods,Onions,1.0,17.01,17.01,2.85,14.16,47,1,2024,Wednesday,11.31
2104,GreenGrocer Plaza,2025-07-10,Health & Wellness,Eggs,4.0,28.04,112.16,11.22,100.94,149,7,2025,Thursday,89.72
1514,City Fresh Store,2025-06-04,Beverages,Ground Beef,4.0,16.98,67.92,3.03,64.89,196,6,2025,Wednesday,61.86
6413,SuperSave Central,2023-10-01,Dairy,Pasta,4.0,10.85,43.4,2.13,41.27,403,10,2023,Sunday,39.14
9423,QuickStop Market,2024-02-07,Household Items,Potatoes,2.0,13.94,27.88,4.18,23.7,247,2,2024,Wednesday,19.52
5562,ValuePlus Market,2025-01-07,Personal Care,Tomatoes,4.0,28.04,112.16,0.0,112.16,445,1,2025,Tuesday,112.16
8953,FamilyFood Express,2024-01-20,Household Items,Tomatoes,2.0,25.81,51.62,7.74,43.88,210,1,2024,Saturday,36.14
9834,City Fresh Store,2023-11-17,Snacks & Candy,Tomatoes,2.0,15.35,30.7,4.86,25.84,18,11,2023,Friday,20.98
8744,MegaMart Westside,2024-02-11,Dairy,Salmon,1.0,16.24,16.24,0.0,16.24,233,2,2024,Sunday,16.24
8749,SuperSave Central,2025-04-25,Snacks & Candy,Eggs,1.0,14.61,14.61,2.19,12.42,496,4,2025,Friday,10.23
7669,Corner Grocery,2024-01-01,Health & Wellness,Bread,3.0,25.71,77.13,11.57,65.56,439,1,2024,Monday,53.99
2545,City Fresh Store,2023-10-21,Personal Care,Milk,5.0,2.97,14.85,2.97,11.88,323,10,2023,Saturday,8.91
8062,GreenGrocer Plaza,2024-05-08,Snacks & Candy,Chicken Breast,1.0,13.86,13.86,1.18,12.68,355,5,2024,Wednesday,11.5
7939,FreshMart Downtown,2024-06-21,Frozen Foods,Orange Juice,3.0,13.48,40.44,3.73,36.71,125,6,2024,Friday,32.980000000000004
8651,SuperSave Central,2025-06-07,Meat & Seafood,Apples,1.0,18.67,18.67,1.87,16.8,195,6,2025,Saturday,14.93
1887,SuperSave Central,2025-01-11,Bakery,Salmon,3.0,14.32,42.96,4.3,38.66,341,1,2025,Saturday,34.36
2612,QuickStop Market,2023-09-23,Health & Wellness,Onions,2.0,3.13,6.26,2.2,4.06,483,9,2023,Saturday,1.8599999999999994
7596,Corner Grocery,2025-02-22,Frozen Foods,Salmon,3.0,6.77,20.31,1.95,18.36,196,2,2025,Saturday,16.41
6559,MegaMart Westside,2025-04-19,Household Items,Rice,3.0,1.63,4.89,0.73,4.16,424,4,2025,Saturday,3.43
2790,FreshMart Downtown,2024-02-16,Household Items,Milk,5.0,22.6,113.0,22.6,90.4,426,2,2024,Friday,67.80000000000001
4139,MegaMart Westside,2024-01-01,Bakery,Yogurt,5.0,8.26,41.3,0.0,41.3,386,1,2024,Monday,41.3
9786,GreenGrocer Plaza,2024-07-20,Health & Wellness,Milk,3.0,23.86,71.58,0.0,71.58,17,7,2024,Saturday,71.58
3296,SuperSave Central,2024-06-29,Dairy,Rice,3.0,22.67,68.01,13.6,54.41,89,6,2024,Saturday,40.809999999999995
4006,ValuePlus Market,2024-03-10,Canned Goods,Carrots,5.0,27.48,137.4,20.61,116.79,425,3,2024,Sunday,96.18
8579,City Fresh Store,2024-02-17,Frozen Foods,Cereal,1.0,14.57,14.57,2.91,11.66,38,2,2024,Saturday,8.75
2235,Corner Grocery,2024-07-16,Personal Care,Orange Juice,1.0,23.92,23.92,1.49,22.43,7,7,2024,Tuesday,20.94
2604,MegaMart Westside,2023-09-15,Health & Wellness,Pasta,5.0,12.04,60.2,3.7,56.5,326,9,2023,Friday,52.8
9856,City Fresh Store,2025-05-17,Produce,Onions,3.0,27.53,82.59,0.0,82.59,113,5,2025,Saturday,82.59
1241,City Fresh Store,2023-10-18,Frozen Foods,Cheese,1.0,5.04,5.04,0.76,4.28,484,10,2023,Wednesday,3.5200000000000005
4872,City Fresh Store,2023-12-14,Dairy,Chicken Breast,2.0,26.72,53.44,5.34,48.1,69,12,2023,Thursday,42.760000000000005
7658,MegaMart Westside,2024-08-18,Health & Wellness,Onions,4.0,18.02,72.08,7.21,64.87,372,8,2024,Sunday,57.660000000000004
8886,GreenGrocer Plaza,2024-01-20,Beverages,Cheese,3.0,1.94,5.82,0.58,5.24,189,1,2024,Saturday,4.66
7570,City Fresh Store,2025-07-07,Bakery,Orange Juice,1.0,29.44,29.44,2.59,26.85,188,7,2025,Monday,24.26
1960,FamilyFood Express,2023-12-12,Dairy,Salmon,1.0,20.21,20.21,4.15,16.06,328,12,2023,Tuesday,11.909999999999998
7209,FamilyFood Express,2023-08-08,Meat & Seafood,Yogurt,1.0,25.05,25.05,1.86,23.19,283,8,2023,Tuesday,21.330000000000002
7396,FamilyFood Express,2024-02-28,Canned Goods,Eggs,5.0,1.07,5.35,1.07,4.28,439,2,2024,Wednesday,3.21
8454,ValuePlus Market,2024-03-15,Frozen Foods,Apples,1.0,20.16,20.16,2.43,17.73,13,3,2024,Friday,15.3
7930,FamilyFood Express,2025-01-29,Household Items,Cereal,1.0,6.04,6.04,0.0,6.04,26,1,2025,Wednesday,6.04
8973,Corner Grocery,2023-12-05,Personal Care,Chicken Breast,1.0,14.8,14.8,3.37,11.43,398,12,2023,Tuesday,8.059999999999999
4111,City Fresh Store,2024-03-24,Personal Care,Ground Beef,5.0,2.25,11.25,1.12,10.13,401,3,2024,Sunday,9.010000000000002
4566,FreshMart Downtown,2023-09-21,Produce,Potatoes,4.0,13.35,53.4,0.0,53.4,55,9,2023,Thursday,53.4
9883,City Fresh Store,2023-09-23,Dairy,Bread,3.0,18.63,55.89,8.38,47.51,33,9,2023,Saturday,39.129999999999995
6138,ValuePlus Market,2023-09-20,Canned Goods,Tomatoes,5.0,16.38,81.9,4.17,77.73,232,9,2023,Wednesday,73.56
1821,GreenGrocer Plaza,2024-11-02,Health & Wellness,Onions,2.0,13.46,26.92,2.69,24.23,454,11,2024,Saturday,21.54
8811,MegaMart Westside,2024-08-31,Beverages,Tomatoes,4.0,22.15,88.6,13.29,75.31,160,8,2024,Saturday,62.02
9701,QuickStop Market,2023-12-07,Canned Goods,Eggs,4.0,2.94,11.76,2.73,9.03,425,12,2023,Thursday,6.299999999999999
1931,MegaMart Westside,2024-09-04,Meat & Seafood,Onions,1.0,18.0,18.0,0.0,18.0,287,9,2024,Wednesday,18.0
2312,GreenGrocer Plaza,2025-05-29,Snacks & Candy,Orange Juice,4.0,26.16,104.64,15.7,88.94,369,5,2025,Thursday,73.24
4044,QuickStop Market,2023-09-29,Canned Goods,Chicken Breast,5.0,15.7,78.5,15.7,62.8,79,9,2023,Friday,47.099999999999994
2113,GreenGrocer Plaza,2025-01-12,Canned Goods,Onions,3.0,4.32,12.96,1.3,11.66,142,1,2025,Sunday,10.36
4853,ValuePlus Market,2024-06-15,Household Items,Onions,1.0,18.65,18.65,1.72,16.93,336,6,2024,Saturday,15.209999999999999
2964,QuickStop Market,2025-06-28,Canned Goods,Orange Juice,1.0,6.25,6.25,1.57,4.68,73,6,2025,Saturday,3.1099999999999994
5033,FreshMart Downtown,2024-10-29,Dairy,Carrots,2.0,11.9,23.8,4.76,19.04,232,10,2024,Tuesday,14.28
1651,MegaMart Westside,2024-11-30,Frozen Foods,Cereal,5.0,18.28,91.4,18.28,73.12,452,11,2024,Saturday,54.84
2343,SuperSave Central,2024-06-27,Household Items,Milk,1.0,8.88,8.88,0.89,7.99,338,6,2024,Thursday,7.1000000000000005
9565,City Fresh Store,2024-04-08,Snacks & Candy,Pasta,2.0,22.88,45.76,4.58,41.18,58,4,2024,Monday,36.6
5272,GreenGrocer Plaza,2024-01-12,Frozen Foods,Potatoes,5.0,20.34,101.7,10.17,91.53,23,1,2024,Friday,81.36
6147,FreshMart Downtown,2024-02-08,Produce,Yogurt,3.0,28.4,85.2,12.78,72.42,392,2,2024,Thursday,59.64
5351,QuickStop Market,2024-06-09,Canned Goods,Chicken Breast,1.0,15.41,15.41,3.08,12.33,220,6,2024,Sunday,9.25
3144,Corner Grocery,2025-01-09,Personal Care,Ground Beef,5.0,17.19,85.95,2.59,83.36,342,1,2025,Thursday,80.77
5915,FreshMart Downtown,2024-07-27,Snacks & Candy,Bananas,4.0,27.7,110.8,2.72,108.08,441,7,2024,Saturday,105.36
6180,Corner Grocery,2025-07-28,Health & Wellness,Cheese,3.0,4.33,12.99,2.6,10.39,10,7,2025,Monday,7.790000000000001
2188,City Fresh Store,2023-08-14,Canned Goods,Bread,4.0,25.48,101.92,2.6,99.32,124,8,2023,Monday,96.72
8508,GreenGrocer Plaza,2024-12-01,Snacks & Candy,Rice,3.0,7.42,22.26,3.04,19.22,398,12,2024,Sunday,16.18
2638,GreenGrocer Plaza,2023-10-02,Personal Care,Carrots,2.0,27.26,54.52,0.0,54.52,178,10,2023,Monday,54.52
9808,SuperSave Central,2024-01-19,Bakery,Chicken Breast,2.0,8.41,16.82,0.0,16.82,88,1,2024,Friday,16.82
9288,GreenGrocer Plaza,2024-02-28,Meat & Seafood,Potatoes,4.0,22.87,91.48,0.0,91.48,389,2,2024,Wednesday,91.48
3170,MegaMart Westside,2025-07-31,Health & Wellness,Cereal,2.0,13.74,27.48,0.0,27.48,240,7,2025,Thursday,27.48
6718,QuickStop Market,2025-06-21,Frozen Foods,Milk,3.0,15.7,47.1,4.71,42.39,158,6,2025,Saturday,37.68
2127,FreshMart Downtown,2025-06-19,Produce,Orange Juice,3.0,3.22,9.66,3.38,6.28,442,6,2025,Thursday,2.9000000000000004
5002,Corner Grocery,2024-05-20,Beverages,Onions,1.0,14.03,14.03,2.1,11.93,414,5,2024,Monday,9.83
5669,City Fresh Store,2023-12-07,Personal Care,Eggs,1.0,14.06,14.06,0.0,14.06,415,12,2023,Thursday,14.06
8179,GreenGrocer Plaza,2025-05-15,Personal Care,Apples,1.0,8.17,8.17,3.09,5.08,224,5,2025,Thursday,1.9900000000000002
9900,SuperSave Central,2025-02-03,Canned Goods,Orange Juice,3.0,12.23,36.69,0.0,36.69,396,2,2025,Monday,36.69
5956,FreshMart Downtown,2024-11-24,Health & Wellness,Cereal,1.0,10.55,10.55,1.58,8.97,285,11,2024,Sunday,7.390000000000001
9666,QuickStop Market,2023-08-13,Health & Wellness,Eggs,3.0,3.35,10.05,1.51,8.54,339,8,2023,Sunday,7.029999999999999
5905,QuickStop Market,2025-07-30,Health & Wellness,Tomatoes,2.0,18.25,36.5,5.47,31.03,480,7,2025,Wednesday,25.560000000000002
2697,ValuePlus Market,2025-08-05,Snacks & Candy,Cereal,2.0,20.42,40.84,0.0,40.84,424,8,2025,Tuesday,40.84
3200,Corner Grocery,2024-02-28,Personal Care,Orange Juice,1.0,11.51,11.51,1.73,9.78,92,2,2024,Wednesday,8.049999999999999
2891,City Fresh Store,2025-06-28,Bakery,Ground Beef,2.0,5.48,10.96,4.08,6.88,151,6,2025,Saturday,2.8
2753,ValuePlus Market,2025-03-05,Produce,Cereal,5.0,4.79,23.95,4.79,19.16,192,3,2025,Wednesday,14.370000000000001
3546,SuperSave Central,2024-03-05,Household Items,Apples,4.0,2.26,9.04,0.9,8.14,186,3,2024,Tuesday,7.24
5616,QuickStop Market,2024-11-18,Beverages,Ground Beef,5.0,7.93,39.65,7.93,31.72,494,11,2024,Monday,23.79
4450,MegaMart Westside,2025-02-14,Health & Wellness,Salmon,4.0,23.3,93.2,3.11,90.09,398,2,2025,Friday,86.98
6617,SuperSave Central,2024-01-12,Bakery,Eggs,3.0,2.5,7.5,4.74,2.76,246,1,2024,Friday,-1.9800000000000004
5325,ValuePlus Market,2024-09-02,Dairy,Rice,1.0,23.12,23.12,1.59,21.53,139,9,2024,Monday,19.94
9004,Corner Grocery,2024-02-18,Dairy,Ground Beef,4.0,26.64,106.56,10.66,95.9,476,2,2024,Sunday,85.24000000000001
1832,FreshMart Downtown,2023-10-17,Snacks & Candy,Carrots,3.0,7.83,23.49,4.7,18.79,41,10,2023,Tuesday,14.09
7939,FreshMart Downtown,2025-05-12,Canned Goods,Chicken Breast,3.0,23.94,71.82,10.77,61.05,70,5,2025,Monday,50.28
5533,City Fresh Store,2023-09-10,Meat & Seafood,Potatoes,4.0,18.84,75.36,2.02,73.34,463,9,2023,Sunday,71.32000000000001
1058,SuperSave Central,2024-04-22,Personal Care,Carrots,4.0,4.21,16.84,2.53,14.31,147,4,2024,Monday,11.780000000000001
